;;;;Champion;NAME S1;;S1I1;S1I2;S1I3;NAME S2;;S2I1;S2I2;S2I3;NAME S3;;S3I1;S3I2;S3I3;ID S1I1;ID S1I2;ID S1I3;CONC;ID S2I1;ID S2I2;ID S2I3;CONC;ID S3I1;ID S3I2;ID S3I3;CONC;CODE_EN;JSON_EN;CODE_PT;JSON_PT;;
;;;;Cho'gath;"""Burn Damage / Debuffer (Prevent Heal) / Revive / Ability Damage""";"""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Dano de Habilidade""";Morellonomicon;Guardian Angel;Rabadon's Deathcap;"""Splash Damage / HP Regeneration / HP Regeneration""";"""Dano em área / Regeneração de Vida / Regeneração de Vida""";Titanic Hydra;Warmog's Armor;Warmog's Armor;"""Debuffer (attack speed) / Magic Resistance / HP Regeneration""";"""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida""";Iceborn Gauntlet;Dragon's Claw;Warmog's Armor;37;15;33;[37,15,33];27;77;77;[27,77,77];59;66;77;[59,66,77];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Ability Damage"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / HP Regeneration"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Ability Damage"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / HP Regeneration"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Dano de Habilidade"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Dano de Habilidade"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        }
      ]";;
;;;;Darius;"""Life Steal / Magic Resistance / Revive""";"""Roubo de Vida / Resistência Mágica / Reviver""";Hextech Gunblade;Dragon's Claw;Guardian Angel;"""Life Steal / Buffer (Shield) / Debuffer (attack speed)""";"""Roubo de Vida / Buffer (Escudo) / Debuffer (velocidade de ataque)""";Hextech Gunblade;Locket of the Iron Solari;Iceborn Gauntlet;"""Life Steal / HP Regeneration / Magic Resistance""";"""Roubo de Vida / Regeneração de Vida / Resistência Mágica""";Hextech Gunblade;Warmog's Armor;Dragon's Claw;13;66;15;[13,66,15];13;35;59;[13,35,59];13;77;66;[13,77,66];"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Life Steal / Buffer (Shield) / Debuffer (attack speed)"",
          ""items"": [13,35,59]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Life Steal / Buffer (Shield) / Debuffer (attack speed)"",
          ""items"": [13,35,59]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Roubo de Vida / Buffer (Escudo) / Debuffer (velocidade de ataque)"",
          ""items"": [13,35,59]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Roubo de Vida / Buffer (Escudo) / Debuffer (velocidade de ataque)"",
          ""items"": [13,35,59]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [13,77,66]
        }
      ]";;
;;;;Draven;"""Life Steal / Critical Damage / Critical Chance / Attack Speed""";"""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque""";The Bloodthirster;Infinity Edge;Guinsoo's Rageblade;"""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal""";"""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida""";Guinsoo's Rageblade;Rapid Firecannon;The Bloodthirster;"""Attack Speed / Attack Damage / Life on Hit / Attack Speed / Buffer (Double Range)""";"""Velocidade de Ataque / Dano de Ataque / Vida ao acertar / Velocidade de Ataque / Buffer (Dobra Alcance)""";Guinsoo's Rageblade;Hand of Justice;Rapid Firecannon;16;19;23;[16,19,23];23;22;16;[23,22,16];23;49;22;[23,49,22];"""bestSets"": [
        {
          ""name"": ""Life Steal / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [16,19,23]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Attack Damage / Life on Hit / Attack Speed / Buffer (Double Range)"",
          ""items"": [23,49,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [16,19,23]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Attack Damage / Life on Hit / Attack Speed / Buffer (Double Range)"",
          ""items"": [23,49,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [16,19,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano de Ataque / Vida ao acertar / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [23,49,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [16,19,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano de Ataque / Vida ao acertar / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [23,49,22]
        }
      ]";;
;;;;Elise;"""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / HP Regeneration""";"""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Regeneração de Vida""";Red Buff;Hush;Warmog's Armor;"""Magic Resistance / Splash Damage / HP Regeneration""";"""Resistência Mágica / Dano em área / Regeneração de Vida""";Dragon's Claw;Titanic Hydra;Warmog's Armor;"""HP Regeneration / Splash Damage / HP Regeneration""";"""Regeneração de Vida / Dano em área / Regeneração de Vida""";Warmog's Armor;Titanic Hydra;Warmog's Armor;57;46;77;[57,46,77];66;27;77;[66,27,77];77;27;77;[77,27,77];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / HP Regeneration"",
          ""items"": [57,46,77]
        },
        {
          ""name"": ""Magic Resistance / Splash Damage / HP Regeneration"",
          ""items"": [66,27,77]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / HP Regeneration"",
          ""items"": [77,27,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / HP Regeneration"",
          ""items"": [57,46,77]
        },
        {
          ""name"": ""Magic Resistance / Splash Damage / HP Regeneration"",
          ""items"": [66,27,77]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / HP Regeneration"",
          ""items"": [77,27,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Regeneração de Vida"",
          ""items"": [57,46,77]
        },
        {
          ""name"": ""Resistência Mágica / Dano em área / Regeneração de Vida"",
          ""items"": [66,27,77]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Regeneração de Vida"",
          ""items"": [77,27,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Regeneração de Vida"",
          ""items"": [57,46,77]
        },
        {
          ""name"": ""Resistência Mágica / Dano em área / Regeneração de Vida"",
          ""items"": [66,27,77]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Regeneração de Vida"",
          ""items"": [77,27,77]
        }
      ]";;
;;;;Evelynn;"""Mana Generation / Mana Generation / Life Steal""";"""Geração de Mana / Geração de Mana / Roubo de Vida""";Seraph's Embrace;Seraph's Embrace;Hextech Gunblade;"""Critical Damage / Critical Chance / Life Steal / Mana Generation""";"""Dano Crítico / Chance de Crítico / Roubo de Vida / Geração de Mana""";Infinity Edge;Hextech Gunblade;Seraph's Embrace;"""Magic Resistance / Revive / Life Steal""";"""Resistência Mágica / Reviver / Roubo de Vida""";Dragon's Claw;Guardian Angel;Hextech Gunblade;44;44;13;[44,44,13];19;13;44;[19,13,44];66;15;13;[66,15,13];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Life Steal"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Life Steal / Mana Generation"",
          ""items"": [19,13,44]
        },
        {
          ""name"": ""Magic Resistance / Revive / Life Steal"",
          ""items"": [66,15,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Life Steal"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Life Steal / Mana Generation"",
          ""items"": [19,13,44]
        },
        {
          ""name"": ""Magic Resistance / Revive / Life Steal"",
          ""items"": [66,15,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Roubo de Vida"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Roubo de Vida / Geração de Mana"",
          ""items"": [19,13,44]
        },
        {
          ""name"": ""Resistência Mágica / Reviver / Roubo de Vida"",
          ""items"": [66,15,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Roubo de Vida"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Roubo de Vida / Geração de Mana"",
          ""items"": [19,13,44]
        },
        {
          ""name"": ""Resistência Mágica / Reviver / Roubo de Vida"",
          ""items"": [66,15,13]
        }
      ]";;
;;;;Fiora;"""Life Steal / Magic Resistance / Revive""";"""Roubo de Vida / Resistência Mágica / Reviver""";The Bloodthirster;Dragon's Claw;Guardian Angel;"""Attack Speed / Critical Damage / Critical Chance / HP Regeneration""";"""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Regeneração de Vida""";Guinsoo's Rageblade;Infinity Edge;Warmog's Armor;"""Mana Generation / Magic Resistance / Attack Speed""";"""Geração de Mana / Resistência Mágica / Velocidade de Ataque""";Spear of Shojin;Dragon's Claw;Guinsoo's Rageblade;16;66;15;[16,66,15];23;19;77;[23,19,77];14;66;23;[14,66,23];"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / HP Regeneration"",
          ""items"": [23,19,77]
        },
        {
          ""name"": ""Mana Generation / Magic Resistance / Attack Speed"",
          ""items"": [14,66,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / HP Regeneration"",
          ""items"": [23,19,77]
        },
        {
          ""name"": ""Mana Generation / Magic Resistance / Attack Speed"",
          ""items"": [14,66,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Regeneração de Vida"",
          ""items"": [23,19,77]
        },
        {
          ""name"": ""Geração de Mana / Resistência Mágica / Velocidade de Ataque"",
          ""items"": [14,66,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Regeneração de Vida"",
          ""items"": [23,19,77]
        },
        {
          ""name"": ""Geração de Mana / Resistência Mágica / Velocidade de Ataque"",
          ""items"": [14,66,23]
        }
      ]";;
;;;;Gangplank;"""Life Steal / Magic Resistance / Revive""";"""Roubo de Vida / Resistência Mágica / Reviver""";Hextech Gunblade;Dragon's Claw;Guardian Angel;"""Debuffer (Prevent Mana) / Burn Damage / Debuffer (Prevent Heal) / Revive""";"""Debuffer (Impede de Ganhar mana) / Dano de Queimadura / Debuffer (Previne Cura) / Reviver""";Hush;Red Buff;Guardian Angel;"""Attack Speed / Mana Generation / Life Steal""";"""Velocidade de Ataque / Geração de Mana / Roubo de Vida""";Guinsoo's Rageblade;Spear of Shojin;Hextech Gunblade;13;66;15;[13,66,15];46;57;15;[46,57,15];23;14;13;[23,14,13];"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Debuffer (Prevent Mana) / Burn Damage / Debuffer (Prevent Heal) / Revive"",
          ""items"": [46,57,15]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Life Steal"",
          ""items"": [23,14,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Debuffer (Prevent Mana) / Burn Damage / Debuffer (Prevent Heal) / Revive"",
          ""items"": [46,57,15]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Life Steal"",
          ""items"": [23,14,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Debuffer (Impede de Ganhar mana) / Dano de Queimadura / Debuffer (Previne Cura) / Reviver"",
          ""items"": [46,57,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Roubo de Vida"",
          ""items"": [23,14,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Debuffer (Impede de Ganhar mana) / Dano de Queimadura / Debuffer (Previne Cura) / Reviver"",
          ""items"": [46,57,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Roubo de Vida"",
          ""items"": [23,14,13]
        }
      ]";;
;;;;Garen;"""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Slow) / Revive""";"""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Lentidão) / Reviver""";Morellonomicon;Frozen Heart;Guardian Angel;"""Revive / HP Regeneration / Debuffer (attack speed)""";"""Reviver / Regeneração de Vida / Debuffer (velocidade de ataque)""";Guardian Angel;Warmog's Armor;Iceborn Gauntlet;"""Burn Damage / Debuffer (Prevent Heal) / HP Regeneration / Magic Resistance""";"""Dano de Queimadura / Debuffer (Previne Cura) / Regeneração de Vida / Resistência Mágica""";Morellonomicon;Warmog's Armor;Dragon's Claw;37;45;15;[37,45,15];15;77;59;[15,77,59];37;77;66;[37,77,66];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Slow) / Revive"",
          ""items"": [37,45,15]
        },
        {
          ""name"": ""Revive / HP Regeneration / Debuffer (attack speed)"",
          ""items"": [15,77,59]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / HP Regeneration / Magic Resistance"",
          ""items"": [37,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Slow) / Revive"",
          ""items"": [37,45,15]
        },
        {
          ""name"": ""Revive / HP Regeneration / Debuffer (attack speed)"",
          ""items"": [15,77,59]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / HP Regeneration / Magic Resistance"",
          ""items"": [37,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Lentidão) / Reviver"",
          ""items"": [37,45,15]
        },
        {
          ""name"": ""Reviver / Regeneração de Vida / Debuffer (velocidade de ataque)"",
          ""items"": [15,77,59]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [37,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Lentidão) / Reviver"",
          ""items"": [37,45,15]
        },
        {
          ""name"": ""Reviver / Regeneração de Vida / Debuffer (velocidade de ataque)"",
          ""items"": [15,77,59]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [37,77,66]
        }
      ]";;
;;;;Gnar;"""Debuffer (attack speed) / Magic Resistance / HP Regeneration""";"""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida""";Iceborn Gauntlet;Dragon's Claw;Warmog's Armor;"""Life Steal / HP Regeneration / Magic Resistance""";"""Roubo de Vida / Regeneração de Vida / Resistência Mágica""";The Bloodthirster;Warmog's Armor;Dragon's Claw;"""Splash Damage / HP Regeneration / Magic Resistance""";"""Dano em área / Regeneração de Vida / Resistência Mágica""";Titanic Hydra;Warmog's Armor;Dragon's Claw;59;66;77;[59,66,77];16;77;66;[16,77,66];27;77;66;[27,77,66];"""bestSets"": [
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [16,77,66]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Magic Resistance"",
          ""items"": [27,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [16,77,66]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Magic Resistance"",
          ""items"": [27,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [16,77,66]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Resistência Mágica"",
          ""items"": [27,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [16,77,66]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Resistência Mágica"",
          ""items"": [27,77,66]
        }
      ]";;
;;;;Graves;"""Debuffer (Disarm) / Life Steal / Attack Speed / Buffer (Double Range)""";"""Debuffer (Desarmar) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)""";Sword Breaker;The Bloodthirster;Rapid Firecannon;"""True Damage (Max Health) / Life Steal / Attack Speed / Buffer (Double Range)""";"""Dano Verdadeiro (Vida Máxima) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)""";Giant Slayer;The Bloodthirster;Rapid Firecannon;"""Burn Damage / Debuffer (Prevent Heal) / Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range)""";"""Dano de Queimadura / Debuffer (Previne Cura) / Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance)""";Red Buff;Rapid Firecannon;Rapid Firecannon;56;16;22;[56,16,22];12;16;22;[12,16,22];57;22;22;[57,22,22];"""bestSets"": [
        {
          ""name"": ""Debuffer (Disarm) / Life Steal / Attack Speed / Buffer (Double Range)"",
          ""items"": [56,16,22]
        },
        {
          ""name"": ""True Damage (Max Health) / Life Steal / Attack Speed / Buffer (Double Range)"",
          ""items"": [12,16,22]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range)"",
          ""items"": [57,22,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Disarm) / Life Steal / Attack Speed / Buffer (Double Range)"",
          ""items"": [56,16,22]
        },
        {
          ""name"": ""True Damage (Max Health) / Life Steal / Attack Speed / Buffer (Double Range)"",
          ""items"": [12,16,22]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range)"",
          ""items"": [57,22,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Desarmar) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [56,16,22]
        },
        {
          ""name"": ""Dano Verdadeiro (Vida Máxima) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [12,16,22]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [57,22,22]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Desarmar) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [56,16,22]
        },
        {
          ""name"": ""Dano Verdadeiro (Vida Máxima) / Roubo de Vida / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [12,16,22]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance)"",
          ""items"": [57,22,22]
        }
      ]";;
;;;;Jayce;"""Attack Speed / Splash Damage / HP Regeneration""";"""Velocidade de Ataque / Dano em área / Regeneração de Vida""";Guinsoo's Rageblade;Statikk Shiv;Warmog's Armor;"""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal""";"""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida""";Guinsoo's Rageblade;Rapid Firecannon;The Bloodthirster;"""Splash Damage / HP Regeneration / Attack Speed""";"""Dano em área / Regeneração de Vida / Velocidade de Ataque""";Titanic Hydra;Warmog's Armor;Guinsoo's Rageblade;23;24;77;[23,24,77];23;22;16;[23,22,16];27;77;23;[27,77,23];"""bestSets"": [
        {
          ""name"": ""Attack Speed / Splash Damage / HP Regeneration"",
          ""items"": [23,24,77]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Attack Speed"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Attack Speed / Splash Damage / HP Regeneration"",
          ""items"": [23,24,77]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Attack Speed"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Dano em área / Regeneração de Vida"",
          ""items"": [23,24,77]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Dano em área / Regeneração de Vida"",
          ""items"": [23,24,77]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [27,77,23]
        }
      ]";;
