ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,NAME S2,DESCR S2,S2I1,S2I2,S2I3,NAME S3,DESCR S3,S3I1,S3I2,S3I3,ID S1I1,ID S1I2,ID S1I3,CONC,ID S2I1,ID S2I2,ID S2I3,CONC,ID S3I1,ID S3I2,ID S3I3,CONC,CODE,Tabulado,,,
Guardian Angel,15,,,Cho'gath,"""Burn Damage / Ability Damage / Revive / Debuffer""","""Item set focused on burn damage on spell cast, ability / spell damage, besides prevent healing and revive when die""",Morellonomicon,Guardian Angel,Rabadon's Deathcap,"""Survivability / Splash Damage""","""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP""",Titanic Hydra,Warmog's Armor,Warmog's Armor,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,37,15,33,"[37,15,33]",27,77,77,"[27,77,77]",45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Ability Damage / Revive / Debuffer"",
          ""description"": ""Item set focused on burn damage on spell cast, ability / spell damage, besides prevent healing and revive when die"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Ability Damage / Revive / Debuffer"",
          ""description"": ""Item set focused on burn damage on spell cast, ability / spell damage, besides prevent healing and revive when die"",
          ""items"": [37,15,33]
        },
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Guinsoo's Rageblade,23,,,Darius,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,"""Survivability / Life Steal / Buffer / Debuffer""","""Item set focused on survivability, buff allies, debuff enemies and life steal""",Hextech Gunblade,Locket of the Iron Solari,Frozen Heart,"""Survivability / Life Regeneration / Magic Resistance""","""Item set focused on survivability (max HP and HP regeneration, life steal and magic resistance""",Hextech Gunblade,Warmog's Armor,Dragon's Claw,45,66,25,"[45,66,25]",13,35,45,"[13,35,45]",13,77,66,"[13,77,66]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        },
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        },
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Hextech Gunblade,13,,,Draven,"""Life Steal / Revive / Attack Speed""","""Item set focused on life steal on attack, attack speed and revive when die""",The Bloodthirster,Guardian Angel,Rapid Firecannon,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed, attack range and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,"""Attack Speed / Critical Damage / Spell Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,Infinity Edge,Rapid Firecannon,16,15,22,"[16,15,22]",23,22,16,"[23,22,16]",23,11,22,"[23,11,22]","""bestSets"": [
        {
          ""name"": ""Life Steal / Revive / Attack Speed"",
          ""description"": ""Item set focused on life steal on attack, attack speed and revive when die"",
          ""items"": [16,15,22]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Life Steal / Revive / Attack Speed"",
          ""description"": ""Item set focused on life steal on attack, attack speed and revive when die"",
          ""items"": [16,15,22]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Hush,46,,,Elise,"""Survivability / Burn Damage / Magic Resistance""","""Item set focused on survivability , magic resistance, immunity to critical and burn damage on attack""",Red Buff,Dragon's Claw,Phantom Dancer,"""Splash Damage / Survivability""","""Item set focused on strong splash damage and survivability (HP)""",Statikk Shiv,Titanic Hydra,Warmog's Armor,"""Survivability / Life Regeneration / Magic Resistance""","""Item set focused on survivability (max HP and HP regeneration), magic resistance, immunity to critical""",Warmog's Armor,Dragon's Claw,Phantom Dancer,57,66,25,"[57,66,25]",24,27,77,"[24,27,77]",77,66,25,"[77,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Burn Damage / Magic Resistance"",
          ""description"": ""Item set focused on survivability , magic resistance, immunity to critical and burn damage on attack"",
          ""items"": [57,66,25]
        },
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Burn Damage / Magic Resistance"",
          ""description"": ""Item set focused on survivability , magic resistance, immunity to critical and burn damage on attack"",
          ""items"": [57,66,25]
        },
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Infinity Edge,11,,,Evelynn,"""Mana Generation/  Life Steal"" ","""Item set focused on strong mana generation and life steal""",Seraph's Embrace,Seraph's Embrace,Hextech Gunblade,"""Splash Damage / Ability Damage / Life Steal""","""Item set focused on splash damage, life steal and ability / spell damage""",Luden's Echo,Hextech Gunblade,Rabadon's Deathcap,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,44,44,13,"[44,44,13]",34,13,33,"[34,13,33]",14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation/  Life Steal"" ,
          ""description"": ""Item set focused on strong mana generation and life steal"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation/  Life Steal"" ,
          ""description"": ""Item set focused on strong mana generation and life steal"",
          ""items"": [44,44,13]
        },
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Ionic Spark,36,,,Fiora,"""Survability / Life Steal""","""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage""",The Bloodthirster,Dragon's Claw,Phantom Dancer,"""Survivability / Attack Speed / Critical Damage""","""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage""",Guinsoo's Rageblade,Sword of the Divine,Warmog's Armor,"""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,16,66,25,"[16,66,25]",23,12,77,"[23,12,77]",14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Survability / Life Steal"",
          ""description"": ""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage"",
          ""items"": [16,66,25]
        },
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survability / Life Steal"",
          ""description"": ""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage"",
          ""items"": [16,66,25]
        },
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Knight's Vow,58,,,Gangplank,"""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,"""Mana Generation / Life Steal / Survivability"" ","""Item set focused on mana generation, life steal and magic resistance""",Hextech Gunblade,Spear of Shojin,Dragon's Claw,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,14,66,25,"[14,66,25]",13,14,66,"[13,14,66]",23,14,33,"[23,14,33]","""bestSets"": [
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        },
        {
          ""name"": ""Mana Generation / Life Steal / Survivability"" ,
          ""description"": ""Item set focused on mana generation, life steal and magic resistance"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        },
        {
          ""name"": ""Mana Generation / Life Steal / Survivability"" ,
          ""description"": ""Item set focused on mana generation, life steal and magic resistance"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Locket of the Iron Solari,35,,,Garen,"""Survivability / Debuffer / Burn Damage""","""Item set focused on survivability, debuff enemies and spell burn damage""",Morellonomicon,Frozen Heart,Phantom Dancer,"""Survivability / Revival / Debuff""","""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die""",Guardian Angel,Warmog's Armor,Frozen Heart,"""Survivability / Life Regeneration / Debuffer""","""Item set focused on survivability (HP and HP regen), magic resistance and burn damage on spell cast, beside prevent heal""",Morellonomicon,Warmog's Armor,Dragon's Claw,37,45,25,"[37,45,25]",15,77,45,"[15,77,45]",37,77,66,"[37,77,66]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer / Burn Damage"",
          ""description"": ""Item set focused on survivability, debuff enemies and spell burn damage"",
          ""items"": [37,45,25]
        },
        {
          ""name"": ""Survivability / Revival / Debuff"",
          ""description"": ""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer / Burn Damage"",
          ""description"": ""Item set focused on survivability, debuff enemies and spell burn damage"",
          ""items"": [37,45,25]
        },
        {
          ""name"": ""Survivability / Revival / Debuff"",
          ""description"": ""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Luden's Echo,34,,,Gnar,"""Splash Damage / Attack Speed""","""Item set focused on strong splash damage on attack and attack speed""",Statikk Shiv,Statikk Shiv,Statikk Shiv,"""Survivability / Debuffer""","""Item set focused on survivability, debuff enemies attack speed, Magic Resistance and Critical Immunity""",Frozen Heart,Phantom Dancer,Dragon's Claw,"""Survivability / Splash Damage""","""Item set focused on survivability (max HP and HP regen), splash damage based on max HP and Magic Resistance""",Titanic Hydra,Warmog's Armor,Dragon's Claw,24,24,24,"[24,24,24]",45,25,66,"[45,25,66]",27,77,66,"[27,77,66]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong splash damage on attack and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability, debuff enemies attack speed, Magic Resistance and Critical Immunity"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong splash damage on attack and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability, debuff enemies attack speed, Magic Resistance and Critical Immunity"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Morellonomicon,37,,,Graves,"""Burn Damage / Debuffer""","""Item set focused on burn damage on attack, silience and chance to reduce enemy's star level by 1""",Red Buff,Cursed Blade,Hush,"""Survivability / Splash Damage""","""Item set focused on survivability (max HP and HP regen), Magic Resistance and critical immunity""",Phantom Dancer,Warmog's Armor,Dragon's Claw,"""Survivability / Disarm / Burn Damage / Blademaster""","""Item set focused on survivability, burn damage, disarm and item that make wearer be also a blademaster""",Red Buff,Blade of the Ruined King,Sword Breaker,57,26,46,"[57,26,46]",25,77,66,"[25,77,66]",57,28,56,"[57,28,56]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer"",
          ""description"": ""Item set focused on burn damage on attack, silience and chance to reduce enemy's star level by 1"",
          ""items"": [57,26,46]
        },
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), Magic Resistance and critical immunity"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer"",
          ""description"": ""Item set focused on burn damage on attack, silience and chance to reduce enemy's star level by 1"",
          ""items"": [57,26,46]
        },
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), Magic Resistance and critical immunity"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Needlessly Large Rod,3,,,Jayce,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on splash damage and attack speed""",Statikk Shiv,Statikk Shiv,Statikk Shiv,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,"""Survivability / Splash Damage / Attack Speed""","""Item set focused on survivability (max HP and HP regen), splash damage based on max HP and attack speed""",Titanic Hydra,Warmog's Armor,Guinsoo's Rageblade,24,24,24,"[24,24,24]",23,22,16,"[23,22,16]",27,77,23,"[27,77,23]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Negatron Cloak,6,,,Jinx,"""Mirror Attack / Debuffer""","""Item set focused on mirror attacks / spread on-hit effects and debbuf enemies""",Runaan's Hurricane,Runaan's Hurricane,Hush,"""Mirror Attack / Attack Speed / Life Steal""","""Item set focused on mirror attacks / spread on-hit effects, attack speed and life steal""",Guinsoo's Rageblade,Hextech Gunblade,Runaan's Hurricane,"""Debuffer / Burn Damage""","""Item set focused on debbuf enemies and burn damage on attack""",Red Buff,Hush,Cursed Blade,68,68,46,"[68,68,46]",23,13,68,"[23,13,68]",57,46,26,"[57,46,26]","""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer"",
          ""description"": ""Item set focused on mirror attacks / spread on-hit effects and debbuf enemies"",
          ""items"": [68,68,46]
        },
        {
          ""name"": ""Mirror Attack / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on mirror attacks / spread on-hit effects, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer"",
          ""description"": ""Item set focused on mirror attacks / spread on-hit effects and debbuf enemies"",
          ""items"": [68,68,46]
        },
        {
          ""name"": ""Mirror Attack / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on mirror attacks / spread on-hit effects, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Phantom Dancer,25,,,Karthus,"""Mana Generation / Ability Damage / Spell Damage""","""Item set focused on strong mana generation and ability / spell damage""",Seraph's Embrace,Seraph's Embrace,Rabadon's Deathcap,"""Mana Generation / Burn Damage / Debuffer"" ","""Item set focused on strong mana generation, burn damage on spell cast, besides prevent enemies healing""",Seraph's Embrace,Seraph's Embrace,Morellonomicon,"""Mana Generation / Ability Damage / Burn Damage / Debuffer"" ","""Item set focused on mana generation, ability / spell damage, burn damage on spell cast, besides prevent enemies healing""",Seraph's Embrace,Rabadon's Deathcap,Morellonomicon,44,44,33,"[44,44,33]",44,44,37,"[44,44,37]",44,33,37,"[44,33,37]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"",
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer"" ,
          ""description"": ""Item set focused on strong mana generation, burn damage on spell cast, besides prevent enemies healing"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"",
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer"" ,
          ""description"": ""Item set focused on strong mana generation, burn damage on spell cast, besides prevent enemies healing"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Rabadon's Deathcap,33,,,Kassadin,"""Survivability / Attack Speed""","""Item set focused on survivability,   attack speed, magic resistance and critical immunity""",Phantom Dancer,Dragon's Claw,Guinsoo's Rageblade,"""Attack Speed / Survivability""","""Item set focused on survivability (HP and HP regen), attack speed and magic resistance""",Guinsoo's Rageblade,Dragon's Claw,Warmog's Armor,"""Survivability / Attack Speed / Life Steal""","""Item set focused on survivability (HP and HP regen), attack speed and life steal""",Guinsoo's Rageblade,Warmog's Armor,The Bloodthirster,25,66,23,"[25,66,23]",23,66,77,"[23,66,77]",23,77,16,"[23,77,16]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability,   attack speed, magic resistance and critical immunity"",
          ""items"": [25,66,23]
        },
        {
          ""name"": ""Attack Speed / Survivability"",
          ""description"": ""Item set focused on survivability (HP and HP regen), attack speed and magic resistance"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability,   attack speed, magic resistance and critical immunity"",
          ""items"": [25,66,23]
        },
        {
          ""name"": ""Attack Speed / Survivability"",
          ""description"": ""Item set focused on survivability (HP and HP regen), attack speed and magic resistance"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Rapid Firecannon,22,,,Katarina,"""Mana Generation / Spell Damage / Burn Damage""","""Item set focused on strong mana generation, spell damage and burn damage""",Morellonomicon,Seraph's Embrace,Seraph's Embrace,"""Splash Damage / Life Steal / Mana Generation""","""Item set focused on Splash Damage, Life Steal and mana generation""",Luden's Echo,Hextech Gunblade,Seraph's Embrace,"Life Steal / Mana Generation""","""Item set focused on Life Steal and mana generation""",Seraph's Embrace,Seraph's Embrace,Hextech Gunblade,37,44,44,"[37,44,44]",34,13,44,"[34,13,44]",44,44,13,"[44,44,13]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [37,44,44]
        },
        {
          ""name"": ""Splash Damage / Life Steal / Mana Generation"",
          ""description"": ""Item set focused on Splash Damage, Life Steal and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [37,44,44]
        },
        {
          ""name"": ""Splash Damage / Life Steal / Mana Generation"",
          ""description"": ""Item set focused on Splash Damage, Life Steal and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Recurve Bow,2,,,Kayle,"""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,"""Mana Generation"" ","""Item set focused on strong mana generation, attack damage and attack speed""",Seraph's Embrace,Spear of Shojin,Guinsoo's Rageblade,"""Mana Generation / Attack Speed / Survivability""","""Item set focused on survivability (max HP and HP regeneration), mana generation and attack speed""",Spear of Shojin,Guinsoo's Rageblade,Warmog's Armor,14,14,23,"[14,14,23]",44,14,23,"[44,14,23]",14,23,77,"[14,23,77]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation"" ,
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation"" ,
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
