ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,ID S1I1,ID S1I2,ID S1I3,CONC,NAME S2,DESCR S2,S2I1,S2I2,S2I3,ID S2I1,ID S2I2,ID S2I3,CONC,CODE,Tabulado,,,,Teste,Minimo,Máximo
Guardian Angel,15,,,Darius,"""Survivability / Life Steal / Buffer / Debuffer""","""Item set focused on survivability, buff allies, debuff enemies and life steal""",Hextech Gunblade,Locket of the Iron Solari,Frozen Heart,13,35,45,"[13,35,45]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [13,35,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [13,35,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Guinsoo's Rageblade,23,,,Draven,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed, attack range and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,23,22,16,"[23,22,16]","""Attack Speed / Critical Damage / Spell Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,Infinity Edge,Rapid Firecannon,23,11,22,"[23,11,22]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,11,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,11,22]
        }
      ]",,,,,,
Hextech Gunblade,13,,,Elise,"""Splash Damage / Survivability""","""Item set focused on strong splash damage and survivability (HP)""",Statikk Shiv,Titanic Hydra,Warmog's Armor,24,27,77,"[24,27,77]","""Survivability / Attack Speed""","""Item set focused on survivability, attack speed and max HP damage""",Titanic Hydra,Dragon's Claw,Phantom Dancer,27,66,25,"[27,66,25]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]",,,,,,
Hush,46,,,Evelynn,"""Splash Damage / Ability Damage / Life Steal""","""Item set focused on splash damage, life steal and ability / spell damage""",Luden's Echo,Hextech Gunblade,Rabadon's Deathcap,34,13,33,"[34,13,33]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [34,13,33]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [34,13,33]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]",,,,,,
Infinity Edge,11,,,Fiora,"""Survivability / Attack Speed / Critical Damage""","""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage""",Guinsoo's Rageblade,Sword of the Divine,Warmog's Armor,23,12,77,"[23,12,77]","""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [23,12,77]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [23,12,77]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]",,,,,,
Ionic Spark,36,,,Gangplank,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,23,14,33,"[23,14,33]","""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]",,,,,,
Knight's Vow,58,,,Garen,"""Survivability / Revival / Debuff""","""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die""",Guardian Angel,Warmog's Armor,Frozen Heart,15,77,45,"[15,77,45]","""Survivability / Debuffer / Burn Damage""","""Item set focused on survivability, debuff enemies and spell burn damage""",Morellonomicon,Frozen Heart,Phantom Dancer,37,45,25,"[37,45,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Revival / Debuff"",
          ""description"": ""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die"",
          ""items"": [15,77,45]
        },
        {
          ""name"": ""Survivability / Debuffer / Burn Damage"",
          ""description"": ""Item set focused on survivability, debuff enemies and spell burn damage"",
          ""items"": [37,45,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Revival / Debuff"",
          ""description"": ""Item set focused on survivability (HP and HP regen), debuff enemies and revive when die"",
          ""items"": [15,77,45]
        },
        {
          ""name"": ""Survivability / Debuffer / Burn Damage"",
          ""description"": ""Item set focused on survivability, debuff enemies and spell burn damage"",
          ""items"": [37,45,25]
        }
      ]",,,,,,
Locket of the Iron Solari,35,,,Gnar,"""Survivability / Attack Speed / Debuff""","""Item set focused on survivability, debuff enemies and attack speed, besides some mana at the start of the combat""",Frozen Heart,Phantom Dancer,Rapid Firecannon,45,25,22,"[45,25,22]","""Survivability / Attack Speed""","""Item set focused on survivability, attack speed and max HP damage""",Titanic Hydra,Dragon's Claw,Phantom Dancer,27,66,25,"[27,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Debuff"",
          ""description"": ""Item set focused on survivability, debuff enemies and attack speed, besides some mana at the start of the combat"",
          ""items"": [45,25,22]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Debuff"",
          ""description"": ""Item set focused on survivability, debuff enemies and attack speed, besides some mana at the start of the combat"",
          ""items"": [45,25,22]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]",,,,,,
Luden's Echo,34,,,Graves,"""Survivability / Splash Damage""","""Item set focused on survivability and Splash Damage""",Phantom Dancer,Statikk Shiv,Dragon's Claw,25,24,66,"[25,24,66]","""Survivability / Disarm / Burn Damage / Blademaster""","""Item set focused on survivability, burn damage, disarm and item that make wearer be also a blademaster""",Red Buff,Blade of the Ruined King,Sword Breaker,57,28,56,"[57,28,56]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on survivability and Splash Damage"",
          ""items"": [25,24,66]
        },
        {
          ""name"": ""Survivability / Disarm / Burn Damage / Blademaster"",
          ""description"": ""Item set focused on survivability, burn damage, disarm and item that make wearer be also a blademaster"",
          ""items"": [57,28,56]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on survivability and Splash Damage"",
          ""items"": [25,24,66]
        },
        {
          ""name"": ""Survivability / Disarm / Burn Damage / Blademaster"",
          ""description"": ""Item set focused on survivability, burn damage, disarm and item that make wearer be also a blademaster"",
          ""items"": [57,28,56]
        }
      ]",,,,,,
Morellonomicon,37,,,Karthus,"""Mana Generation / Ability Damage"" ","""Item set focused on strong mana generation and spell / ability damage, besides great mana at start of combat""",Seraph's Embrace,Rabadon's Deathcap,Seraph's Embrace,44,33,44,"[44,33,44]","""Mana Generation / Ability Damage / Spell Damage""","""Item set focused on strong mana generation and ability / spell damage""",Seraph's Embrace,Seraph's Embrace,Rabadon's Deathcap,44,44,33,"[44,44,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage, besides great mana at start of combat"",
          ""items"": [44,33,44]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"",
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [44,44,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage, besides great mana at start of combat"",
          ""items"": [44,33,44]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"",
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [44,44,33]
        }
      ]",,,,,,
Needlessly Large Rod,3,,,Kassadin,"""Attack Speed / Survivability""","""Item set focused on survivability (HP and HP regen) and strong attack speed""",Guinsoo's Rageblade,Guinsoo's Rageblade,Warmog's Armor,23,23,77,"[23,23,77]","""Survivability / Attack Speed""","""Item set focused on strong attack speed and survivability""",Phantom Dancer,Dragon's Claw,Guinsoo's Rageblade,25,66,23,"[25,66,23]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Survivability"",
          ""description"": ""Item set focused on survivability (HP and HP regen) and strong attack speed"",
          ""items"": [23,23,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong attack speed and survivability"",
          ""items"": [25,66,23]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Survivability"",
          ""description"": ""Item set focused on survivability (HP and HP regen) and strong attack speed"",
          ""items"": [23,23,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong attack speed and survivability"",
          ""items"": [25,66,23]
        }
      ]",,,,,,
Negatron Cloak,6,,,Katarina,"""Splash Damage / Life Steal / Mana Generation""","""Item set focused on Splash Damage, Life Steal and mana generation""",Luden's Echo,Hextech Gunblade,Seraph's Embrace,34,13,44,"[34,13,44]","""Mana Generation / Spell Damage / Burn Damage""","""Item set focused on strong mana generation, spell damage and burn damage""",Morellonomicon,Seraph's Embrace,Seraph's Embrace,37,44,44,"[37,44,44]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Life Steal / Mana Generation"",
          ""description"": ""Item set focused on Splash Damage, Life Steal and mana generation"",
          ""items"": [34,13,44]
        },
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [37,44,44]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Life Steal / Mana Generation"",
          ""description"": ""Item set focused on Splash Damage, Life Steal and mana generation"",
          ""items"": [34,13,44]
        },
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [37,44,44]
        }
      ]",,,,,,
Phantom Dancer,25,,,Kayle,"""Mana Generation"" ","""Item set focused on strong  mana generation and mana at start of the combat""",Seraph's Embrace,Spear of Shojin,Spear of Shojin,44,14,14,"[44,14,14]","""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,14,14,23,"[14,14,23]","""bestSets"": [
        {
          ""name"": ""Mana Generation"" ,
          ""description"": ""Item set focused on strong  mana generation and mana at start of the combat"",
          ""items"": [44,14,14]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation"" ,
          ""description"": ""Item set focused on strong  mana generation and mana at start of the combat"",
          ""items"": [44,14,14]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]",,,,,,
Rabadon's Deathcap,33,,,Kennen,"""Abbility Damage / Splash Damage / Mana generation""","""Item set focused on  mana generation, ability / spell damage and splash damage""",Spear of Shojin,Rabadon's Deathcap,Statikk Shiv,14,33,24,"[14,33,24]","""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Abbility Damage / Splash Damage / Mana generation"",
          ""description"": ""Item set focused on  mana generation, ability / spell damage and splash damage"",
          ""items"": [14,33,24]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Abbility Damage / Splash Damage / Mana generation"",
          ""description"": ""Item set focused on  mana generation, ability / spell damage and splash damage"",
          ""items"": [14,33,24]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]",,,,,,
